|    Run | Delivered LS | Delivered (/μb) |          Selected LS | Recorded (/μb) |
-------------------------------------------------------------------------------------
| 136035 |          280 |          167.300 |    [1-53], [55-207], |         163.570 |
|        |              |                  |            [209-259] |                 |
| 136066 |         1241 |         1043.306 |           [181-297], |         998.099 |
|        |              |                  |           [299-319], |                 |
|        |              |                  |           [321-321], |                 |
|        |              |                  |           [323-336], |                 |
|        |              |                  |           [338-348], |                 |
|        |              |                  |           [350-366], |                 |
|        |              |                  |           [368-529], |                 |
|        |              |                  |           [532-544], |                 |
|        |              |                  |           [546-595], |                 |
|        |              |                  |           [597-719], |                 |
|        |              |                  |          [721-1004], |                 |
|        |              |                  |          [1006-1184] |                 |
| 136080 |          262 |          106.532 | [249-250], [252-255] |           7.278 |
| 136082 |          543 |          784.392 |  [1-173], [175-422], |         686.589 |
|        |              |                  | [477-504], [506-506] |                 |
| 136087 |          354 |          413.208 |           [256-265], |         160.500 |
|        |              |                  |           [267-277], |                 |
|        |              |                  |           [279-310], |                 |
|        |              |                  | [312-315], [250-255] |                 |
| 136088 |          403 |          999.794 |       [1-3], [6-17], |         826.231 |
|        |              |                  |    [19-39], [41-47], |                 |
|        |              |                  |    [50-50], [52-52], |                 |
|        |              |                  |    [54-63], [65-65], |                 |
|        |              |                  |   [67-89], [91-113], |                 |
|        |              |                  |           [115-131], |                 |
|        |              |                  |           [133-137], |                 |
|        |              |                  |           [139-184], |                 |
|        |              |                  |           [187-191], |                 |
|        |              |                  |           [193-194], |                 |
|        |              |                  |           [196-206], |                 |
|        |              |                  | [208-208], [210-262] |                 |
| 136097 |           90 |          464.152 | [1-1], [3-3], [5-5], |         287.116 |
|        |              |                  |        [7-7], [9-9], |                 |
|        |              |                  |     [11-12], [14-78] |                 |
| 136098 |           24 |          123.084 |               [1-10] |          39.926 |
| 136100 |         1186 |         3510.900 |               [1-94] |         470.214 |
| 136119 |          340 |          204.961 |               [1-36] |          78.339 |
| 137027 |          199 |          204.848 | [98-146], [149-162], |         133.227 |
|        |              |                  |            [165-187] |                 |
| 137028 |          571 |         1338.205 |  [1-107], [111-157], |        1236.765 |
|        |              |                  |           [163-169], |                 |
|        |              |                  |           [171-180], |                 |
|        |              |                  |           [184-200], |                 |
|        |              |                  |           [203-209], |                 |
|        |              |                  |           [211-232], |                 |
|        |              |                  |           [234-274], |                 |
|        |              |                  |           [276-338], |                 |
|        |              |                  | [341-475], [478-484] |                 |
| 138564 |           18 |           68.719 |                [1-4] |          11.204 |
| 138571 |           22 |           46.684 |               [1-13] |          26.759 |
| 138572 |          238 |          273.779 |              [1-213] |         272.416 |
| 138737 |           87 |         1062.443 |               [1-66] |         767.354 |
| 138738 |           93 |         1079.234 |               [1-10] |          86.558 |
| 138739 |          185 |         1993.628 |               [1-13] |         132.251 |
| 138742 |           53 |          533.720 |      [1-20], [22-38] |         361.627 |
| 138744 |           38 |          372.212 |               [1-24] |         233.018 |
| 138745 |           16 |          155.718 |               [1-10] |          88.785 |
| 138746 |          144 |         1360.576 |              [1-129] |        1176.818 |
| 138747 |          378 |         2677.989 |     [1-71], [73-131] |        1174.804 |
| 138750 |          725 |         3118.104 |    [1-46], [49-208], |        3026.026 |
|        |              |                  | [210-623], [626-709] |                 |
| 138751 |          582 |         1691.484 |   [1-110], [112-147] |         570.407 |
| 138919 |          167 |         2010.404 |             [62-150] |        1311.004 |
| 138920 |           73 |         1283.094 |               [1-55] |         949.144 |
| 138921 |          202 |         2733.022 |  [1-165], [168-181], |        2570.935 |
|        |              |                  |            [183-191] |                 |
| 138923 |           16 |          157.162 |                [1-2] |          12.797 |
| 138924 |           85 |          813.559 |               [1-62] |         578.114 |
| 138937 |           46 |          430.204 |               [1-26] |         237.791 |
| 138939 |           35 |          322.037 |               [1-26] |         229.118 |
| 139020 |          927 |         1582.355 | [227-316], [319-617] |        1447.514 |
| 139096 |          279 |         1235.052 |           [256-267], |         654.006 |
|        |              |                  |           [193-210], |                 |
|        |              |                  |           [212-233], |                 |
|        |              |                  |           [235-236], |                 |
|        |              |                  | [239-239], [242-255] |                 |
| 139098 |          200 |         2223.975 |    [1-92], [94-121], |        1881.688 |
|        |              |                  | [123-160], [162-179] |                 |
| 139100 |          315 |         3296.709 |     [1-13], [15-15], |        3055.961 |
|        |              |                  |   [17-19], [21-102], |                 |
|        |              |                  |           [104-104], |                 |
|        |              |                  | [106-205], [207-307] |                 |
| 139102 |          106 |          423.429 |      [1-12], [14-55] |         213.854 |
| 139103 |          488 |         1835.784 |  [7-154], [157-414], |        1638.852 |
|        |              |                  | [416-416], [418-449] |                 |
| 139195 |          198 |         1564.837 |     [9-14], [16-29], |        1010.214 |
|        |              |                  |     [31-81], [83-92] |                 |
| 139239 |          554 |         2413.855 |           [164-214], |        1766.975 |
|        |              |                  |           [217-217], |                 |
|        |              |                  |           [219-222], |                 |
|        |              |                  | [224-225], [227-270] |                 |
| 139347 |          525 |         2274.559 |           [512-515], |        1684.863 |
|        |              |                  | [214-357], [359-511] |                 |
| 139356 |          212 |         1465.819 |           [192-192], |         175.955 |
|        |              |                  | [175-186], [188-191] |                 |
| 139360 |           42 |          556.108 |               [1-30] |         389.331 |
| 139364 |           88 |         1113.748 |      [1-48], [51-72] |         851.982 |
| 139365 |          258 |         2957.980 |      [1-9], [12-14], |        2617.515 |
|        |              |                  |    [16-82], [84-84], |                 |
|        |              |                  | [86-112], [114-166], |                 |
|        |              |                  | [168-179], [181-250] |                 |
| 139368 |          173 |         1825.526 |    [1-34], [36-100], |        1656.848 |
|        |              |                  | [102-150], [152-166] |                 |
| 139370 |          836 |         7887.679 |  [1-175], [177-254], |        6067.240 |
|        |              |                  |           [257-445], |                 |
|        |              |                  |           [447-468], |                 |
|        |              |                  |           [472-504], |                 |
|        |              |                  |           [506-562], |                 |
|        |              |                  |           [564-581], |                 |
|        |              |                  | [583-619], [622-645] |                 |
| 139372 |          201 |         1535.875 |   [20-46], [48-173], |        1289.352 |
|        |              |                  |            [175-194] |                 |
| 139375 |          551 |         1965.940 |               [1-47] |         313.129 |
| 139399 |          136 |         1153.417 |   [75-89], [94-107], |         422.938 |
|        |              |                  |           [109-109], |                 |
|        |              |                  | [114-117], [125-125] |                 |
| 139400 |          143 |         1664.099 |               [1-22] |         244.525 |
| 139407 |         1328 |        14263.037 | [1-976], [978-1074], |       13427.208 |
|        |              |                  |          [1076-1251] |                 |
| 139411 |          377 |         1837.279 |     [4-67], [69-135] |        1274.542 |
| 139457 |           87 |          946.913 |               [1-73] |         776.701 |
| 139458 |          409 |         4275.377 |  [1-103], [107-326], |        4063.769 |
|        |              |                  |            [329-395] |                 |
| 139459 |          152 |          552.866 |        [1-2], [4-55] |         533.124 |
| 139779 |           62 |          881.667 |               [4-52] |         681.431 |
| 139780 |           91 |         1264.486 |               [4-75] |         986.066 |
| 139781 |          212 |         2002.273 |              [4-200] |        1856.804 |
| 139783 |           54 |          380.881 |               [4-36] |         229.489 |
| 139784 |          103 |          692.287 |               [4-71] |         453.636 |
| 139786 |          114 |          743.967 |              [4-101] |         631.520 |
| 139788 |           52 |          335.650 |               [4-35] |         202.885 |
| 139789 |          127 |          810.197 |              [4-112] |         689.005 |
| 139790 |          188 |          711.944 |               [4-21] |         112.854 |
| 139965 |          242 |          973.874 |            [209-213] |          88.285 |
| 139966 |           74 |         1462.547 |               [1-51] |         948.742 |
| 139967 |           75 |         1562.333 |               [1-55] |        1121.088 |
| 139968 |           28 |          576.674 |                [1-5] |          91.761 |
| 139969 |           97 |         1973.447 |               [1-78] |        1534.805 |
| 139971 |          317 |         6241.296 |              [1-304] |        5061.757 |
| 139972 |           47 |          896.456 |               [1-38] |         692.347 |
| 139973 |          132 |         2467.243 |              [1-118] |        2161.626 |
| 139974 |           63 |         1159.447 |               [1-53] |         943.662 |
| 139975 |           68 |         1237.175 |      [1-15], [17-54] |         909.377 |
| 140058 |          234 |         4361.441 |            [111-224] |        3393.912 |
| 140059 |         1175 |        24012.406 |  [1-610], [613-1159] |       23253.025 |
| 140070 |           25 |          430.001 |               [1-11] |         169.849 |
| 140076 |          126 |         2131.281 |               [1-60] |         984.098 |
| 140124 |         1741 |        45970.123 |  [1-390], [392-938], |       44815.019 |
|        |              |                  |           [940-1731] |                 |
| 140126 |          338 |         7543.800 |              [1-322] |        6944.985 |
| 140158 |          414 |        10424.026 |              [5-404] |        9983.773 |
| 140159 |          395 |         8715.692 |              [1-379] |        8304.239 |
| 140160 |          252 |         4862.312 |              [1-216] |        4157.372 |
