|    Run | Delivered LS | Delivered (/μb) |          Selected LS | Recorded (/μb) |
-------------------------------------------------------------------------------------
| 146428 |          109 |        10452.711 |      [1-2], [11-52], |        7395.316 |
|        |              |                  |              [55-92] |                 |
| 146430 |          112 |        10337.355 |     [1-12], [18-47], |        7129.284 |
|        |              |                  |     [50-62], [65-90] |                 |
| 146431 |          154 |        13677.686 |               [1-23] |        1980.971 |
| 146436 |          542 |        42806.736 |   [1-152], [255-532] |       33426.223 |
| 146437 |          823 |        54802.710 |              [1-817] |       53889.042 |
| 146510 |          356 |       152147.767 |             [33-339] |      128140.989 |
| 146511 |          840 |       282728.565 |     [1-63], [65-778] |      260980.745 |
| 146513 |           24 |         6869.292 |        [1-1], [3-15] |        3726.779 |
| 146514 |         1132 |       250412.849 |   [1-545], [548-885] |      216421.987 |
| 146589 |          295 |        94666.169 |             [73-280] |       64821.866 |
| 146644 |         2585 |      1155245.560 | [96-117], [119-565], |     1051881.804 |
|        |              |                  |           [567-874], |                 |
|        |              |                  |          [876-1032], |                 |
|        |              |                  |         [1034-2179], |                 |
|        |              |                  |          [2377-2473] |                 |
| 146698 |          196 |        40725.595 |            [160-189] |       21423.391 |
| 146710 |          222 |       146891.967 |   [1-49], [114-115], |       94766.225 |
|        |              |                  |            [117-214] |                 |
| 146712 |           76 |        48435.640 |               [1-69] |       42110.083 |
| 146713 |          260 |       157444.806 |     [1-48], [50-256] |      151109.454 |
| 146715 |          211 |       119742.247 |              [1-125] |       70253.420 |
| 146721 |           36 |        18172.591 |                [1-6] |        2285.366 |
| 146724 |          200 |        96205.783 |  [1-106], [109-109], |       73549.147 |
|        |              |                  | [112-150], [152-159] |                 |
| 146804 |          932 |       605712.078 |           [111-148], |      560556.097 |
|        |              |                  |           [150-520], |                 |
|        |              |                  |           [522-789], |                 |
|        |              |                  | [791-822], [824-905] |                 |
| 146807 |          620 |       304458.453 |           [132-362], |      194015.961 |
|        |              |                  | [365-420], [422-469] |                 |
| 146944 |          703 |       554106.825 |            [177-669] |      481088.796 |
| 147043 |          564 |       259337.529 |            [161-500] |      251256.184 |
| 147048 |          624 |       353785.488 |             [94-484] |      312050.409 |
| 147114 |          680 |       554973.629 |           [180-187], |      461879.570 |
|        |              |                  | [227-240], [247-667] |                 |
| 147115 |          557 |       498861.841 |              [1-546] |      481275.649 |
| 147116 |          115 |        31783.250 |               [1-54] |       29465.313 |
| 147196 |          221 |       332591.973 |               [1-90] |      135377.274 |
| 147214 |           87 |       101817.776 |               [1-79] |       89278.344 |
| 147216 |           68 |        76751.937 |               [1-63] |       69158.433 |
| 147217 |          201 |       217936.467 |              [1-193] |      206765.795 |
| 147218 |           60 |        62699.856 |               [1-45] |       45980.618 |
| 147219 |          365 |       355950.310 |   [1-293], [309-320] |      296519.068 |
| 147222 |          592 |       450784.560 |              [1-444] |      371486.516 |
