globaltag = DES19_62_V8::All
HcalTopologyIdealEP::HcalTopologyIdealEP
======================== Opening output file
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 18-Feb-2014 20:02:57.056 CET
RPCGeometryESModule :: produce
RPCGeometryESModule :: produce :: 1/4 Get Muon Ideal Geometry Record
%MSG-e Specific:  RPCTiming:timing 18-Feb-2014 20:02:59 CET Run: 1 Event: 1
Could not process q-name of a DDLogicalPart, reason:
No regex-match for namespace=  name=HFFibre.*

SpecPar selection is:
//HFFibre.*

%MSG
RPCGeometryESModule :: produce :: 2/4 Get Muon DDD Constants
RPCGeometryESModule :: produce :: 3/4 Get Muon Numbering Record
in MuonNumberingInitialization::initializeMuonDDDConstants
about to make my new muonDDDConst_
in MuonNumberingInitialization::produce
RPCGeometryESModule :: produce :: 4/4 Build
RPCDetId: 637566989 W-2_RB1in_S01_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637632525 W-2_RB1in_S01_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637569037 W-2_RB1out_S01_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637634573 W-2_RB1out_S01_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637567117 W-2_RB1in_S02_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637632653 W-2_RB1in_S02_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637569165 W-2_RB1out_S02_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637634701 W-2_RB1out_S02_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637567245 W-2_RB1in_S03_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637632781 W-2_RB1in_S03_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637569293 W-2_RB1out_S03_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637634829 W-2_RB1out_S03_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637567373 W-2_RB1in_S04_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637632909 W-2_RB1in_S04_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637569421 W-2_RB1out_S04_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637634957 W-2_RB1out_S04_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637567501 W-2_RB1in_S05_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637633037 W-2_RB1in_S05_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637569549 W-2_RB1out_S05_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637635085 W-2_RB1out_S05_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637567629 W-2_RB1in_S06_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637633165 W-2_RB1in_S06_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637569677 W-2_RB1out_S06_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637635213 W-2_RB1out_S06_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637567757 W-2_RB1in_S07_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637633293 W-2_RB1in_S07_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637569805 W-2_RB1out_S07_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637635341 W-2_RB1out_S07_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637567885 W-2_RB1in_S08_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637633421 W-2_RB1in_S08_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637569933 W-2_RB1out_S08_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637635469 W-2_RB1out_S08_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637568013 W-2_RB1in_S09_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637633549 W-2_RB1in_S09_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637570061 W-2_RB1out_S09_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637635597 W-2_RB1out_S09_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637568141 W-2_RB1in_S10_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637633677 W-2_RB1in_S10_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637570189 W-2_RB1out_S10_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637635725 W-2_RB1out_S10_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637568269 W-2_RB1in_S11_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637633805 W-2_RB1in_S11_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637570317 W-2_RB1out_S11_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
